Admin,Latitude,Longitude,Area,Medic,Ward,Beds,Urban,Population,Essential,Reproductive,Nhos,Ndocs,OpenYear,OpenMonth,OpenDay,CloseYear,CloseMonth,CloseDay,Date,Censored
4500000,36.4717031,127.1338368,195.69,1,,,1,104545,1,0,16,731,2005,3,11,,,,7056,0
5580000,36.2889992,127.2407948,201.8,1,,,0,42822,0,0,3,30,2017,7,14,,,,2548,0
4500000,36.4581154,127.1246432,82.88,1,,,1,104545,0,0,16,731,2000,3,18,,,,8875,0
4500000,36.4603547,127.124155,368.64,1,,,1,104545,0,0,16,731,2001,2,10,,,,8546,0
4500000,36.4585376,127.1259795,337.51,1,,,1,104545,0,0,16,731,2001,3,3,,,,8525,0
4500000,36.4581154,127.1246432,100.44,1,,,1,104545,0,0,16,731,2001,3,17,,,,8511,0
4500000,36.5495403,126.9506315,562.86,4,6,29,1,104545,0,0,16,731,2001,4,10,,,,8487,0
4500000,36.4741524,127.142023,207.29,1,1,1,1,104545,1,0,16,731,2001,4,20,,,,8477,0
4500000,36.4769683,127.1459747,131.49,1,,,1,104545,1,0,16,731,2001,12,3,,,,8250,0
4500000,36.4583747,127.125163,202.54,5,,,1,104545,1,0,16,731,2001,12,27,,,,8226,0
4540000,36.2085811,127.2196416,196.35,1,,,0,116675,1,1,15,672,1996,3,11,,,,10343,0
4510000,36.3500961,126.5978042,93,1,,,1,100229,0,0,5,140,1996,3,4,,,,10350,0
4510000,36.3525872,126.5938961,134.76,1,,,1,100229,0,0,5,140,1996,3,21,,,,10333,0
4510000,36.345884,126.5984945,95,1,,,1,100229,1,1,5,140,1997,3,4,,,,9985,0
4510000,36.3440413,126.5999917,212.7,1,,,1,100229,1,0,5,140,2008,2,13,,,,5987,0
4510000,36.3490002,126.5955073,140.69,2,,,1,100229,1,0,5,140,2012,11,21,,,,4244,0
4540000,36.1980206,127.0901142,304.5,1,,,1,116675,1,1,15,672,1997,2,25,,,,9992,0
4590000,36.4524446,126.8027565,287.08,2,,,1,30948,1,0,3,25,2011,8,1,,,,4722,0
4590000,36.4509725,126.8007407,235.05,1,,,1,30948,1,1,3,25,2013,4,12,,,,4102,0
4610000,36.6815069,126.832744,182.9,1,,,1,78084,1,1,2,47,2012,7,26,,,,4362,0
4500000,36.4692113,127.1337516,946.38,1,7,14,1,104545,1,0,16,731,1996,12,30,,,,10049,0
4500000,36.4585376,127.1259795,100.43,1,,,1,104545,0,0,16,731,1997,4,25,,,,9933,0
4500000,36.4588635,127.1275404,386.03,7,,,1,104545,1,0,16,731,1997,6,27,,,,9870,0
4610000,36.6798244,126.8464473,381.1,1,,,1,78084,0,0,2,47,2001,3,3,,,,8525,0
4610000,36.6798244,126.8464473,381.1,3,,,1,78084,1,0,2,47,1997,6,4,,,,9893,0
4610000,36.5505164,126.7752849,297.68,1,,,0,78084,1,0,2,47,1997,6,9,,,,9888,0
4610000,36.679664,126.8474833,112.2,1,,,1,78084,1,0,2,47,1997,12,23,,,,9691,0
4610000,36.6857441,126.832186,303,1,,,1,78084,1,1,2,47,1998,1,17,,,,9666,0
4500000,36.6111006,127.1213778,196.39,1,,,0,104545,1,0,16,731,1997,7,23,,,,9844,0
4500000,36.4592719,127.1252927,158.52,1,,,1,104545,0,0,16,731,1998,3,14,,,,9610,0
4500000,36.4586753,127.1251243,107.96,1,,,1,104545,0,0,16,731,1998,3,25,,,,9599,0
4610000,36.6806741,126.8520698,273.69,5,,,1,78084,1,1,2,47,2002,3,5,,,,8158,0
4610000,36.6859935,126.7361157,233.88,1,,,1,78084,0,0,2,47,2002,4,22,,,,8110,0
4610000,36.6794569,126.8457386,304.35,2,1,1,1,78084,1,1,2,47,2002,5,7,,,,8095,0
4610000,36.6794569,126.8457386,198,1,,,1,78084,1,1,2,47,2003,6,30,,,,7676,0
4610000,36.6880106,126.8298182,223.81,1,,,1,78084,1,0,2,47,2003,7,4,,,,7672,0
4610000,36.6859437,126.7380336,257.22,2,,,1,78084,1,0,2,47,2013,6,10,,,,4043,0
4610000,36.6946252,126.8347421,318,5,,,1,78084,1,0,2,47,2011,5,4,,,,4811,0
4500000,36.4741524,127.142023,1149.56,2,10,25,1,104545,1,0,16,731,2008,4,10,,,,5930,0
4500000,36.4741524,127.142023,207.93,1,,,1,104545,0,0,16,731,2008,9,25,,,,5762,0
4610000,36.6899475,126.8301531,148.5,1,,,1,78084,1,0,2,47,2014,5,16,,,,3703,0
4500000,36.4390214,127.092088,1288.13,4,10,39,1,104545,1,0,16,731,2008,12,1,,,,5695,0
4500000,36.4739755,127.1386844,343.3,1,,,1,104545,0,0,16,731,2009,3,2,,,,5604,0
4500000,36.4585376,127.1259795,383.02,1,,,1,104545,0,0,16,731,2009,5,4,,,,5541,0
4500000,36.4740893,127.1411935,1425.68,3,15,29,1,104545,1,1,16,731,2009,7,14,,,,5470,0
4500000,36.4740893,127.1411935,400.22,3,,,1,104545,1,1,16,731,2009,7,15,,,,5469,0
4500000,36.4740893,127.1411935,183.89,1,,,1,104545,1,0,16,731,2009,7,30,,,,5454,0
4540000,36.205565,127.0943881,176.48,1,,,1,116675,1,0,15,672,2015,2,11,,,,3432,0
4610000,36.7042389,126.6684702,147.3,1,,,0,78084,1,0,2,47,2004,4,1,,,,7400,0
4610000,36.6794569,126.8457386,231.88,3,,,1,78084,0,0,2,47,2005,2,28,,,,7067,0
4610000,36.7445971,126.7027377,166.89,1,,,0,78084,1,1,2,47,2006,2,2,,,,6728,0
4610000,36.6796335,126.8476274,226.1,2,,,1,78084,1,0,2,47,1998,4,30,,,,9563,0
4610000,36.705377,126.6711451,212.44,1,4,15,0,78084,0,0,2,47,2001,2,2,,,,8554,0
4610000,36.6806741,126.8520698,160.9,1,,,1,78084,0,0,2,47,1998,10,8,,,,9402,0
4610000,36.6806741,126.8520698,335.7,1,,,1,78084,1,1,2,47,1998,10,8,,,,9402,0
4610000,36.7457688,126.7041654,230,1,,,0,78084,0,0,2,47,1998,10,12,,,,9398,0
4610000,36.681851,126.8309167,1113.86,1,7,19,1,78084,0,0,2,47,2007,3,29,,,,6308,0
4610000,36.6805002,126.8482015,309.56,2,,,1,78084,0,0,2,47,1997,4,25,,,,9933,0
4610000,36.679615,126.8515422,141.9,1,,,1,78084,1,0,2,47,1997,4,25,,,,9933,0
4610000,36.678999,126.8447235,261,1,,,1,78084,0,0,2,47,2014,11,10,,,,3525,0
4610000,36.6643873,126.6752376,434.2,1,,,1,78084,1,0,2,47,2018,5,3,,,,2255,0
4610000,36.678999,126.8447235,273.5,1,,,1,78084,1,1,2,47,2016,2,25,,,,3053,0
4610000,36.6794569,126.8457386,363,1,,,1,78084,1,1,2,47,2016,7,25,,,,2902,0
4610000,36.6940723,126.8336607,248.44,2,,,1,78084,1,0,2,47,2008,6,5,,,,5874,0
4610000,36.6782793,126.7956513,81.9,1,,,0,78084,1,0,2,47,1995,12,19,,,,10426,0
4610000,36.7286064,126.8412306,383.32,1,,,1,78084,1,0,2,47,1996,5,14,,,,10279,0
4400000,37.1369388,128.2110664,204.95,2,,,1,133018,1,1,19,1010,1998,8,13,,,,9458,0
4400000,37.1521889,128.2168187,418.47,1,,,1,133018,1,1,19,1010,1998,10,19,,,,9391,0
4470000,36.9924791,127.5923834,222.7,2,,,1,93153,0,0,12,197,2004,5,20,,,,7351,0
4470000,36.9664849,127.4942181,543,1,13,29,0,93153,1,1,12,197,2004,6,10,,,,7330,0
4470000,36.9929667,127.5938642,232.4,1,,,1,93153,1,1,12,197,2001,8,2,,,,8373,0
4470000,36.9693129,127.4829815,276.42,2,,,0,93153,1,0,12,197,2001,11,20,,,,8263,0
4400000,37.1358659,128.2098513,742.44,1,8,23,1,133018,1,0,19,1010,2016,12,21,,,,2753,0
4400000,37.1412525,128.212612,293.3,2,,,1,133018,1,0,19,1010,2018,6,26,,,,2201,0
5710000,36.6204771,127.514738,,1,,,1,190034,1,1,21,1287,1996,3,28,,,,10326,0
5710000,36.6114493,127.4926615,,1,,,1,194720,1,1,27,2493,1997,7,6,,,,9861,0
5710000,36.6501096,127.4748443,,1,,,1,265866,1,1,31,1236,2000,8,10,,,,8730,0
4430000,36.3018371,127.5670212,294,1,1,2,1,50527,1,1,10,202,1995,1,18,,,,10761,0
